ID,nazione,popolazione,età media,percentuale popolazione urbana
0,China,1440297825,38,61
1,India,1382345085,28,35
2,United States,331341050,38,83
3,Indonesia,274021604,30,56
4,Pakistan,221612785,23,35
5,Brazil,212821986,33,88
6,Nigeria,206984347,18,52
7,Bangladesh,164972348,28,39
8,Russia,145945524,40,74
9,Mexico,129166028,29,84
10,Japan,126407422,48,92
11,Ethiopia,115434444,19,21
12,Philippines,109830324,26,47
13,Egypt,102659126,25,43
14,Vietnam,97490013,32,38
15,DR Congo,90003954,17,46
16,Turkey,84495243,32,76
17,Iran,84176929,32,76
18,Germany,83830972,46,76
19,Thailand,69830779,40,51
20,United Kingdom,67948282,40,83
21,France,65298930,42,82
22,Italy,60446035,47,69
23,Tanzania,60012400,18,37
24,South Africa,59436725,28,67
25,Myanmar,54473253,29,31
26,Kenya,53968739,20,28
27,South Korea,51276977,44,82
28,Colombia,50976248,31,80
29,Spain,46757980,45,80
30,Uganda,45974931,17,26
31,Argentina,45267449,32,93
32,Algeria,43984569,29,73
33,Sudan,44019263,20,35
34,Ukraine,43686577,41,69
35,Iraq,40372771,21,73
36,Afghanistan,39074280,18,25
37,Poland,37839255,42,60
38,Canada,37799407,41,81
39,Morocco,36985624,30,64
40,Saudi Arabia,34905942,32,84
41,Uzbekistan,33551824,28,50
42,Peru,33050211,31,79
43,Angola,33032075,17,67
44,Malaysia,32436963,30,78
45,Mozambique,31398811,18,38
46,Ghana,31181428,22,57
47,Yemen,29935468,20,38
48,Nepal,29225196,25,21
49,Venezuela,28421581,30,N.A.
50,Madagascar,27808395,20,39
51,Cameroon,26655083,19,56
52,Côte d'Ivoire,26486282,19,51
53,North Korea,25798588,35,63
54,Australia,25550683,38,86
55,Niger,24346468,15,17
56,Taiwan,23824369,42,79
57,Sri Lanka,21428970,34,18
58,Burkina Faso,20997293,18,31
59,Mali,20346106,16,44
60,Romania,19214608,43,55
61,Malawi,19211425,18,18
62,Chile,19144605,35,85
63,Kazakhstan,18815231,31,58
64,Zambia,18468257,18,45
65,Guatemala,17971382,23,52
66,Ecuador,17688599,28,63
67,Syria,17571053,26,60
68,Netherlands,17141544,43,92
69,Senegal,16816539,19,49
70,Cambodia,16758448,26,24
71,Chad,16502877,17,23
72,Somalia,15965848,17,47
73,Zimbabwe,14899771,19,38
74,Guinea,13191279,18,39
75,Rwanda,13005303,20,18
76,Benin,12175480,19,48
77,Burundi,11948454,17,14
78,Tunisia,11839918,33,70
79,Bolivia,11700207,26,69
80,Belgium,11598451,42,98
81,Haiti,11426356,24,57
82,Cuba,11325391,42,78
83,South Sudan,11216250,19,25
84,Dominican Republic,10866667,28,85
85,Czech Republic (Czechia),10712481,43,74
86,Greece,10413936,46,85
87,Jordan,10220604,24,91
88,Portugal,10191409,46,66
89,Azerbaijan,10154978,32,56
