ID;Country;Population;Land Area
0;China;1440297825;9388211
1;India;1382345085;2973190
2;United States;331341050;9147420
3;Indonesia;274021604;1811570
4;Pakistan;221612785;770880
5;Brazil;212821986;8358140
6;Nigeria;206984347;910770
7;Bangladesh;164972348;130170
8;Russia;145945524;16376870
9;Mexico;129166028;1943950
10;Japan;126407422;364555
11;Ethiopia;115434444;1000000
12;Philippines;109830324;298170
13;Egypt;102659126;995450
14;Vietnam;97490013;310070
15;DR Congo;90003954;2267050
16;Turkey;84495243;769630
17;Iran;84176929;1628550
18;Germany;83830972;348560
19;Thailand;69830779;510890
20;United Kingdom;67948282;241930
21;France;65298930;547557
22;Italy;60446035;294140
23;Tanzania;60012400;885800
24;South Africa;59436725;1213090
25;Myanmar;54473253;653290
26;Kenya;53968739;569140
27;South Korea;51276977;97230
28;Colombia;50976248;1109500
29;Spain;46757980;498800
30;Uganda;45974931;199810
31;Argentina;45267449;2736690
32;Algeria;43984569;2381740
33;Sudan;44019263;1765048
34;Ukraine;43686577;579320
35;Iraq;40372771;434320
36;Afghanistan;39074280;652860
37;Poland;37839255;306230
38;Canada;37799407;9093510
39;Morocco;36985624;446300
40;Saudi Arabia;34905942;2149690
41;Uzbekistan;33551824;425400
42;Peru;33050211;1280000
43;Angola;33032075;1246700
44;Malaysia;32436963;328550
45;Mozambique;31398811;786380
46;Ghana;31181428;227540
47;Yemen;29935468;527970
48;Nepal;29225196;143350
49;Venezuela;28421581;882050
50;Madagascar;27808395;581795
51;Cameroon;26655083;472710
52;Côte d'Ivoire;26486282;318000
53;North Korea;25798588;120410
54;Australia;25550683;7682300
55;Niger;24346468;1266700
56;Taiwan;23824369;35410
57;Sri Lanka;21428970;62710
58;Burkina Faso;20997293;273600
59;Mali;20346106;1220190
60;Romania;19214608;230170
61;Malawi;19211425;94280
62;Chile;19144605;743532
63;Kazakhstan;18815231;2699700
64;Zambia;18468257;743390
65;Guatemala;17971382;107160
66;Ecuador;17688599;248360
67;Syria;17571053;183630
68;Netherlands;17141544;33720
69;Senegal;16816539;192530
70;Cambodia;16758448;176520
71;Chad;16502877;1259200
72;Somalia;15965848;627340
73;Zimbabwe;14899771;386850
74;Guinea;13191279;245720
75;Rwanda;13005303;24670
76;Benin;12175480;112760
77;Burundi;11948454;25680
78;Tunisia;11839918;155360
79;Bolivia;11700207;1083300
80;Belgium;11598451;30280
81;Haiti;11426356;27560
82;Cuba;11325391;106440
83;South Sudan;11216250;610952
84;Dominican Republic;10866667;48320
85;Czech Republic (Czechia);10712481;77240
86;Greece;10413936;128900
87;Jordan;10220604;88780
88;Portugal;10191409;91590
89;Azerbaijan;10154978;82658
90;Sweden;10110233;410340
91;Honduras;9931333;111890
92;United Arab Emirates;9910892;83600
93;Hungary;9655983;90530
94;Tajikistan;9573310;139960
95;Belarus;9448772;202910
96;Austria;9015361;82409
97;Papua New Guinea;8975531;452860
98;Serbia;8731081;87460
99;Israel;8678517;21640
100;Switzerland;8665615;39516
101;Togo;8310934;54390
102;Sierra Leone;8004158;72180
103;Hong Kong;7507523;1050
104;Laos;7293542;230800
105;Paraguay;7147553;397300
106;Bulgaria;6939018;108560
107;Libya;6887247;1759540
108;Lebanon;6819976;10230
109;Nicaragua;6638075;120340
110;Kyrgyzstan;6542426;191800
111;El Salvador;6491923;20720
112;Turkmenistan;6046292;469930
113;Singapore;5858322;700
114;Denmark;5795780;42430
115;Finland;5542237;303890
116;Congo;5540555;341500
117;Slovakia;5460109;48088
118;Norway;5428594;365268
119;Oman;5128058;309500
120;State of Palestine;5121112;6020
121;Costa Rica;5102158;51060
122;Liberia;5077411;96320
123;Ireland;4947267;68890
124;Central African Republic;4843954;622980
125;New Zealand;4829021;263310
126;Mauritania;4669775;1030700
127;Panama;4326296;74340
128;Kuwait;4281320;17820
129;Croatia;4100719;55960
130;Moldova;4032294;32850
131;Georgia;3987805;69490
132;Eritrea;3554797;101000
133;Uruguay;3475842;175020
134;Bosnia and Herzegovina;3277152;51000
135;Mongolia;3287242;1553560
136;Armenia;2964219;28470
137;Jamaica;2963429;10830
138;Qatar;2889284;11610
139;Albania;2877239;27400
140;Puerto Rico;2846860;8870
141;Lithuania;2715340;62674
142;Namibia;2548663;823290
143;Gambia;2427782;10120
144;Botswana;2359585;566730
145;Gabon;2234448;257670
146;Lesotho;2145194;30360
147;North Macedonia;2083359;25220
148;Slovenia;2078989;20140
149;Guinea-Bissau;1975718;28120
150;Latvia;1882408;62200
151;Bahrain;1711057;760
152;Equatorial Guinea;1410419;28050
153;Trinidad and Tobago;1400283;5130
154;Estonia;1326693;42390
155;Timor-Leste;1322667;14870
156;Mauritius;1272140;2030
157;Cyprus;1208886;9240
158;Eswatini;1162233;17200
159;Djibouti;990447;23180
160;Fiji;897573;18270
161;Réunion;896422;2500
162;Comoros;872695;1861
163;Guyana;787215;196850
164;Bhutan;773069;38117
165;Solomon Islands;689671;27990
166;Macao;650846;30
167;Montenegro;628080;13450
168;Luxembourg;627704;2590
169;Western Sahara;599769;266000
170;Suriname;587541;156000
171;Cabo Verde;557026;4030
172;Maldives;542151;300
173;Malta;441750;320
174;Brunei;438202;5270
175;Guadeloupe;400136;1690
176;Belize;398845;22810
177;Bahamas;393893;10010
178;Martinique;375213;1060
179;Iceland;341628;100250
180;Vanuatu;308337;12190
181;French Guiana;299958;82200
182;Barbados;287437;430
183;New Caledonia;285972;18280
184;French Polynesia;281191;3660
185;Mayotte;273905;375
186;Sao Tome & Principe;219844;960
187;Samoa;198643;2830
188;Saint Lucia;183774;610
189;Channel Islands;174140;190
190;Guam;169031;540
191;Curaçao;164211;444
192;Kiribati;119760;810
193;Micronesia;115231;700
194;Grenada;112614;340
195;St. Vincent & Grenadines;111002;390
196;Aruba;106845;180
197;Tonga;105901;720
198;U.S. Virgin Islands;104398;350
199;Seychelles;98453;460
200;Antigua and Barbuda;98069;440
201;Isle of Man;85112;570
202;Andorra;77287;470
203;Dominica;72017;750
204;Cayman Islands;65854;240
205;Bermuda;62237;50
206;Marshall Islands;59259;180
207;Northern Mariana Islands;57619;460
208;Greenland;56787;410450
209;American Samoa;55169;200
210;Saint Kitts & Nevis;53264;260
211;Faeroe Islands;48896;1396
212;Sint Maarten;42960;34
213;Monaco;39290;1
214;Turks and Caicos;38806;950
215;Saint Martin;38778;53
216;Liechtenstein;38147;160
217;San Marino;33944;60
218;Gibraltar;33689;10
219;British Virgin Islands;30266;150
220;Caribbean Netherlands;26265;328
221;Palau;18109;460
222;Cook Islands;17567;240
223;Anguilla;15026;90
224;Tuvalu;11817;30
225;Wallis & Futuna;11203;140
226;Nauru;10836;20
227;Saint Barthelemy;9882;21
228;Saint Helena;6080;390
229;Saint Pierre & Miquelon;5789;230
230;Montserrat;4993;100
231;Falkland Islands;3497;12170
232;Niue;1628;260
233;Tokelau;1360;10
234;Holy See;801;1
